feature,importance_mean,importance_std
LSTAT,2.5028196078431417,0.31680706384127727
RM,2.1188539215686286,0.12221667387444929
CRIM,0.42118823529411814,0.08844115680514304
DIS,0.3408745098039213,0.1383387594508399
NOX,0.2616705882352947,0.061724386964752805
PTRATIO,0.18262499999999968,0.03748431565183745
AGE,0.13924950980392162,0.04444556468485566
TAX,0.09090882352941199,0.04070573301523452
RAD,0.014890686274510446,0.008014586270619198
INDUS,0.013218627450981435,0.010650575196601
ZN,0.007563235294118264,0.0021747414633759826
CHAS,0.0058343137254911245,0.003552490448837195
B,-0.01228725490195941,0.040974349645991476
